1JANATAMF,6.60,Mutual Funds,A,1.3,0.8,2.54,11.94,2021
1STPRIMFMF,20.30,Mutual Funds,A,0.8,1.48,0.38,11.62,2020
AAMRANET,45.50,IT Sector,A,2.77,2.04,2.14,37.09,2021
AAMRATECH,31.60,IT Sector,A,2.08,2.12,1.45,23.93,2021
ABB1STMF,5.70,Mutual Funds,A,0.8,0.68,2.61,11.97,2021
ABBANK,13.50,Bank,B,0.68,0.59,0.5,32.26,2020
ACFL,32.00,Textile,A,1.1,1.08,1.25,34.72,2021
ACI,327.40,Pharmaceuticals & Chemicals,A,55.61,15.72,5.5,162.65,2021
ACIFORMULA,178.80,Pharmaceuticals & Chemicals,A,11.94,4.68,4.74,66.77,2021
ACMELAB,92.90,Pharmaceuticals & Chemicals,A,2.5,11.09,7.42,95.04,2021
ACMEPL,32.20,Pharmaceuticals & Chemicals,N,-,1.88,1.65,18.48,2021
ACTIVEFINE,29.70,Pharmaceuticals & Chemicals,B,0.05,1.04,0.16,22.01,2021
ADNTEL,52.60,IT Sector,A,1.0,2.52,2.57,25.97,2021
ADVENT,27.50,Pharmaceuticals & Chemicals,B,2.75,1.6,1.41,13.5,2020
AFCAGRO,32.50,Pharmaceuticals & Chemicals,B,0.05,1.16,0.15,18.0,2021
AFTABAUTO,30.00,Engineering,A,2.0,-, n/a ,57.89,2021
AGNISYSL,23.80,IT Sector,B,0.35,1.2,0.77,14.62,2021
AGRANINS,55.60,Insurance,A,3.28,1.81,1.71,18.11,2020
AIBL1STIMF,8.90,Mutual Funds,A,1.23,0.21,1.83,11.57,2021
AIL,49.80,Textile,A,1.0,1.48,1.45,21.66,2021
AL-HAJTEX,91.60,Textile,B,0.1,0.12,0.26,8.61,2021
ALARABANK,27.00,Bank,A,1.5,2.06,2.42,22.35,2020
ALIF,15.50,Textile,B,0.2,0.6,0.44,14.18,2021
ALLTEX,19.40,Textile,Z,-,-, n/a ,5.87,2021
AMANFEED,56.60,Miscellaneous,A,1.5,3.72,2.53,32.23,2021
AMBEEPHA,500.20,Pharmaceuticals & Chemicals,A,-,0.4, n/a ,18.68,2021
AMCL(PRAN),367.70,Food & Allied,A,3.2,8.64,5.37,84.17,2021
ANLIMAYARN,37.40,Textile,B,0.2,-,0.05,10.63,2021
ANWARGALV,427.40,Engineering,A,22.37,20.52,2.03,10.85,2020
AOL,44.50,Fuel & Power,A,3.76,1.96,1.58,19.25,2020
APEXFOODS,183.10,Food & Allied,A,2.0,2.68,2.07,119.39,2021
APEXFOOT,325.50,Tannery Industries,A,19.78,9.6,9.36,256.81,2021
APEXSPINN,133.10,Textile,A,2.0,2.6,2.93,55.81,2021
APEXTANRY,146.30,Tannery Industries,A,1.0,0.36,0.34,63.17,2021
APOLOISPAT,9.40,Engineering,B,0.28,-,0.05,20.19,2018
ARAMIT,339.00,Miscellaneous,A,5.0,4.54,7.66,181.42,2021
ARAMITCEM,36.20,Cement,Z,-,-,0.6,29.13,2021
ARGONDENIM,19.70,Textile,A,1.98,-,0.71,26.15,2021
ASIAINS,99.20,Insurance,A,1.2,4.24,2.34,24.52,2020
ASIAPACINS,64.10,Insurance,A,1.0,3.33,1.97,20.63,2020
ATCSLGF,9.70,Mutual Funds,A,1.5,1.12,1.93,12.41,2021
ATLASBANG,115.00,Engineering,B,-,-, n/a ,128.0,2021
AZIZPIPES,107.00,Engineering,B,-,-, n/a ,-15.09,2021
BANGAS,127.10,Food & Allied,B,0.4,0.24,0.23,21.02,2021
BANKASIA,20.50,Bank,A,1.0,3.15,1.74,23.34,2020
BARKAPOWER,24.80,Fuel & Power,A,1.0,3.36,2.96,20.91,2021
BATASHOE,909.90,Tannery Industries,A,2.5,-, n/a ,267.94,2020
BATBC,645.90,Food & Allied,A,1351.8,28.54,60.48,188.89,2020
BAYLEASING,31.50,Financial Institutions,A,1.0,3.67,1.14,19.8,2020
BBS,19.40,Engineering,B,0.2,0.12, n/a ,14.26,2021
BBSCABLES,59.50,Engineering,A,3.98,5.56,4.84,33.5,2021
BDAUTOCA,152.50,Engineering,B,0.4,0.48,0.37,6.85,2021
BDCOM,24.40,IT Sector,A,1.72,1.16,1.1,15.57,2021
BDFINANCE,52.90,Financial Institutions,A,3.77,2.76,1.8,17.86,2020
BDLAMPS,221.40,Engineering,A,2.0,5.08,5.1,95.16,2021
BDSERVICE,-,Travel & Leisure,Z,-,-, n/a ,-25.24,2021
BDTHAI,22.30,Engineering,B,0.2,0.48,1.25,28.11,2021
BDWELDING,17.20,Fuel & Power,Z,0.17,-, n/a ,11.61,2019
BEACHHATCH,30.50,Food & Allied,Z,-,-, n/a ,10.5,2018
BEACONPHAR,241.60,Pharmaceuticals & Chemicals,B,1.5,6.08,3.74,23.18,2021
BENGALWTL,24.30,Engineering,B,0.5,0.69,0.51,24.87,2021
BERGERPBL,1790.00,Miscellaneous,A,37.5,51.3,58.0,232.78,2021
BEXIMCO,160.40,Miscellaneous,B,3.5,16.43,7.53,78.28,2021
BGIC,52.00,Insurance,A,1.2,2.51,1.25,19.38,2020
BIFC,7.10,Financial Institutions,Z,-,-, n/a ,-66.40,2017
BNICL,122.90,Insurance,A,1.5,3.83,2.32,20.17,2020
BPML,61.40,Paper & Printing,A,1.2,1.56,2.37,45.81,2021
BPPL,36.70,Fuel & Power,N,1.25,4.52,3.71,16.34,2021
BRACBANK,58.50,Bank,A,3.93,3.83,3.33,36.63,2020
BSC,139.00,Miscellaneous,A,1.0,17.35,2.72,56.03,2020
BSCCL,219.80,Telecommunication,A,3.7,12.84,11.57,52.49,2021
BSRMLTD,112.00,Engineering,A,5.0,17.13,16.62,127.56,2021
BSRMSTEEL,78.00,Engineering,A,4.0,11.56,8.1,62.38,2021
BXPHARMA,200.80,Pharmaceuticals & Chemicals,A,3.5,13.12,11.49,83.01,2021
BXSYNTH,-,Pharmaceuticals & Chemicals,Z,-,-, n/a ,-2.78,2021
CAPMBDBLMF,10.20,Mutual Funds,A,1.3,1.48,2.41,11.81,2021
CAPMIBBLMF,15.90,Mutual Funds,A,1.35,1.28,1.89,11.97,2021
CENTRALINS,52.00,Insurance,A,4.5,2.68,2.18,25.02,2020
CENTRALPHL,14.70,Pharmaceuticals & Chemicals,B,-,-, n/a ,6.53,2021
CITYBANK,27.60,Bank,A,3.13,3.96,4.29,29.03,2020
CITYGENINS,40.40,Insurance,A,1.0,1.71,1.77,16.88,2020
CNATEX,8.50,Textile,Z,0.85,0.72,1.14,16.74,2016
CONFIDCEM,122.10,Cement,A,2.5,9.29,15.88,74.26,2021
CONTININS,44.80,Insurance,A,2.39,2.27,1.29,19.84,2020
COPPERTECH,43.90,Engineering,B,0.25,1.24,0.35,11.24,2020
CRYSTALINS,51.40,Insurance,A,1.0,2.46,4.59,20.98,2020
CVOPRL,227.00,Fuel & Power,B,22.7,-, n/a ,11.55,2021
DACCADYE,22.60,Textile,B,0.1,1.24,0.13,8.36,2020
DAFODILCOM,65.50,IT Sector,B,0.6,0.72,0.7,13.42,2021
DBH,77.80,Financial Institutions,A,13.17,6.11,5.78,41.72,2020
DBH1STMF,7.60,Mutual Funds,A,1.2,0.13,2.13,11.79,2021
DELTALIFE,188.70,Insurance,A,2.6,-,-,-,2018
DELTASPINN,9.60,Textile,B,0.96,-,0.29,14.41,2017
DESCO,40.30,Fuel & Power,A,1.0,0.55,1.13,46.76,2020
DESHBANDHU,24.40,Engineering,B,0.5,0.56,0.2,18.07,2021
DGIC,38.40,Insurance,A,1.0,1.32,0.91,7.16,2020
DHAKABANK,14.50,Bank,A,1.47,2.18,2.2,21.69,2020
DHAKAINS,70.20,Insurance,A,2.0,3.31,2.89,31.61,2020
DOMINAGE,26.10,Engineering,A,2.29,0.6,0.97,21.23,2020
DOREENPWR,75.30,Fuel & Power,A,10.34,9.72,8.09,48.41,2021
DSHGARME,192.10,Textile,B,0.5,1.04,0.4,19.7,2021
DSSL,17.50,Textile,A,2.62,1.22,1.23,18.98,2020
DULAMIACOT,49.80,Textile,Z,-,-, n/a ,-37.42,2021
DUTCHBANGL,77.50,Bank,A,13.12,8.33,10.0,58.65,2020
EASTERNINS,-,Insurance,-,2.0,18.94,30.45,47.33,2020
EASTLAND,37.00,Insurance,A,1.81,1.32,1.12,21.32,2020
EASTRNLUB,2668.40,Fuel & Power,A,3.0,6.92,5.43,178.45,2020
EBL,38.60,Bank,A,8.5,5.61,5.15,36.28,2020
EBL1STMF,7.50,Mutual Funds,A,1.3,2.13,2.58,11.76,2021
EBLNRBMF,6.20,Mutual Funds,A,0.6,1.16,1.92,12.27,2021
