1JANATAMF,Mutual Funds,A,1.3,0.8,2.54,11.94,"2021
"
1STPRIMFMF,Mutual Funds,A,0.8,1.48,0.38,11.62,"2020
"
AAMRANET,IT Sector,A,2.77,2.04,2.14,37.09,"2021
"
AAMRATECH,IT Sector,A,2.08,2.12,1.45,23.93,"2021
"
ABB1STMF,Mutual Funds,A,0.8,0.68,2.61,11.97,"2021
"
ABBANK,Bank,B,0.68,0.59,0.5,32.26,"2020
"
ACFL,Textile,A,1.1,1.08,1.25,34.72,"2021
"
ACI,Pharmaceuticals & Chemicals,A,55.61,15.72,5.5,162.65,"2021
"
ACIFORMULA,Pharmaceuticals & Chemicals,A,11.94,4.68,4.74,66.77,"2021
"
ACMELAB,Pharmaceuticals & Chemicals,A,2.5,11.09,7.42,95.04,"2021
"
ACTIVEFINE,Pharmaceuticals & Chemicals,B,0.05,1.04,0.16,22.01,"2021
"
ADNTEL,IT Sector,A,1.0,2.52,2.57,25.97,"2021
"
ADVENT,Pharmaceuticals & Chemicals,B,2.75,1.6,1.41,13.5,"2020
"
AFCAGRO,Pharmaceuticals & Chemicals,B,0.05,1.16,0.15,18.0,"2021
"
AGNISYSL,IT Sector,B,0.35,1.2,0.77,14.62,"2021
"
AGRANINS,Insurance,A,3.28,1.81,1.71,18.11,"2020
"
AIBL1STIMF,Mutual Funds,A,1.23,0.21,1.83,11.57,"2021
"
AIL,Textile,A,1.0,1.48,1.45,21.66,"2021
"
ALARABANK,Bank,A,1.5,2.06,2.42,22.35,"2020
"
ALIF,Textile,B,0.2,0.6,0.44,14.18,"2021
"
AMANFEED,Miscellaneous,A,1.5,3.72,2.53,32.23,"2021
"
AMCL(PRAN),Food & Allied,A,3.2,8.64,5.37,84.17,"2021
"
ANWARGALV,Engineering,A,22.37,20.52,2.03,10.85,"2020
"
AOL,Fuel & Power,A,3.76,1.96,1.58,19.25,"2020
"
APEXFOODS,Food & Allied,A,2.0,2.68,2.07,119.39,"2021
"
APEXFOOT,Tannery Industries,A,19.78,9.6,9.36,256.81,"2021
"
APEXSPINN,Textile,A,2.0,2.6,2.93,55.81,"2021
"
APEXTANRY,Tannery Industries,A,1.0,0.36,0.34,63.17,"2021
"
ARAMIT,Miscellaneous,A,5.0,4.54,7.66,181.42,"2021
"
ASIAINS,Insurance,A,1.2,4.24,2.34,24.52,"2020
"
ASIAPACINS,Insurance,A,1.0,3.33,1.97,20.63,"2020
"
ATCSLGF,Mutual Funds,A,1.5,1.12,1.93,12.41,"2021
"
BANGAS,Food & Allied,B,0.4,0.24,0.23,21.02,"2021
"
BANKASIA,Bank,A,1.0,3.15,1.74,23.34,"2020
"
BARKAPOWER,Fuel & Power,A,1.0,3.36,2.96,20.91,"2021
"
BATBC,Food & Allied,A,1351.8,28.54,60.48,188.89,"2020
"
BAYLEASING,Financial Institutions,A,1.0,3.67,1.14,19.8,"2020
"
BBSCABLES,Engineering,A,3.98,5.56,4.84,33.5,"2021
"
BDAUTOCA,Engineering,B,0.4,0.48,0.37,6.85,"2021
"
BDCOM,IT Sector,A,1.72,1.16,1.1,15.57,"2021
"
BDFINANCE,Financial Institutions,A,3.77,2.76,1.8,17.86,"2020
"
BDLAMPS,Engineering,A,2.0,5.08,5.1,95.16,"2021
"
BDTHAI,Engineering,B,0.2,0.48,1.25,28.11,"2021
"
BEACONPHAR,Pharmaceuticals & Chemicals,B,1.5,6.08,3.74,23.18,"2021
"
BENGALWTL,Engineering,B,0.5,0.69,0.51,24.87,"2021
"
BERGERPBL,Miscellaneous,A,37.5,51.3,58.0,232.78,"2021
"
BEXIMCO,Miscellaneous,B,3.5,16.43,7.53,78.28,"2021
"
BGIC,Insurance,A,1.2,2.51,1.25,19.38,"2020
"
BNICL,Insurance,A,1.5,3.83,2.32,20.17,"2020
"
BPML,Paper & Printing,A,1.2,1.56,2.37,45.81,"2021
"
BPPL,Fuel & Power,N,1.25,4.52,3.71,16.34,"2021
"
BRACBANK,Bank,A,3.93,3.83,3.33,36.63,"2020
"
BSC,Miscellaneous,A,1.0,17.35,2.72,56.03,"2020
"
BSCCL,Telecommunication,A,3.7,12.84,11.57,52.49,"2021
"
BSRMLTD,Engineering,A,5.0,17.13,16.62,127.56,"2021
"
BSRMSTEEL,Engineering,A,4.0,11.56,8.1,62.38,"2021
"
BXPHARMA,Pharmaceuticals & Chemicals,A,3.5,13.12,11.49,83.01,"2021
"
CAPMBDBLMF,Mutual Funds,A,1.3,1.48,2.41,11.81,"2021
"
CAPMIBBLMF,Mutual Funds,A,1.35,1.28,1.89,11.97,"2021
"
CENTRALINS,Insurance,A,4.5,2.68,2.18,25.02,"2020
"
CITYBANK,Bank,A,3.13,3.96,4.29,29.03,"2020
"
CITYGENINS,Insurance,A,1.0,1.71,1.77,16.88,"2020
"
CNATEX,Textile,Z,0.85,0.72,1.14,16.74,"2016
"
CONFIDCEM,Cement,A,2.5,9.29,15.88,74.26,"2021
"
CONTININS,Insurance,A,2.39,2.27,1.29,19.84,"2020
"
COPPERTECH,Engineering,B,0.25,1.24,0.35,11.24,"2020
"
CRYSTALINS,Insurance,A,1.0,2.46,4.59,20.98,"2020
"
DACCADYE,Textile,B,0.1,1.24,0.13,8.36,"2020
"
DAFODILCOM,IT Sector,B,0.6,0.72,0.7,13.42,"2021
"
DBH,Financial Institutions,A,13.17,6.11,5.78,41.72,"2020
"
DBH1STMF,Mutual Funds,A,1.2,0.13,2.13,11.79,"2021
"
DESCO,Fuel & Power,A,1.0,0.55,1.13,46.76,"2020
"
DESHBANDHU,Engineering,B,0.5,0.56,0.2,18.07,"2021
"
DGIC,Insurance,A,1.0,1.32,0.91,7.16,"2020
"
DHAKABANK,Bank,A,1.47,2.18,2.2,21.69,"2020
"
DHAKAINS,Insurance,A,2.0,3.31,2.89,31.61,"2020
"
DOMINAGE,Engineering,A,2.29,0.6,0.97,21.23,"2020
"
DOREENPWR,Fuel & Power,A,10.34,9.72,8.09,48.41,"2021
"
DSHGARME,Textile,B,0.5,1.04,0.4,19.7,"2021
"
DSSL,Textile,A,2.62,1.22,1.23,18.98,"2020
"
DUTCHBANGL,Bank,A,13.12,8.33,10.0,58.65,"2020
"
EASTLAND,Insurance,A,1.81,1.32,1.12,21.32,"2020
"
EASTRNLUB,Fuel & Power,A,3.0,6.92,5.43,178.45,"2020
"
EBL,Bank,A,8.5,5.61,5.15,36.28,"2020
"
EBL1STMF,Mutual Funds,A,1.3,2.13,2.58,11.76,"2021
"
EBLNRBMF,Mutual Funds,A,0.6,1.16,1.92,12.27,"2021
"
EGEN,IT Sector,N,1.0,1.64,1.61,23.96,"2021
"
EHL,Services & Real Estate,A,1.5,3.0,3.98,70.33,"2021
"
EIL,Insurance,B,0.7,1.63,1.34,19.0,"2020
"
EMERALDOIL,Food & Allied,Z,3.86,0.12,3.33,17.23,"2016
"
ENVOYTEX,Textile,A,0.5,0.83,0.55,37.79,"2021
"
EPGL,Fuel & Power,N,1.0,1.96,2.03,57.72,"2021
"
ESQUIRENIT,Textile,A,1.5,2.76,1.97,50.61,"2020
"
EXIM1STMF,Mutual Funds,A,0.75,0.96,2.0,12.0,"2021
"
