1JANATAMF,6.5,6.6,6.4,6.5,6.5,0.0,111,2.308,355732
1STPRIMFMF,19.7,20.1,19.7,19.8,19.9,-0.2,159,3.158,159618
AAMRANET,44.8,46.3,44.7,44.8,45.4,-0.6,219,6.635,147103
AAMRATECH,30.5,31.9,30.4,30.5,31.5,-1.0,442,17.719,572278
ABB1STMF,5.6,5.8,5.6,5.6,5.7,-0.1,25,0.44,78250
ABBANK,13.4,13.6,13.4,13.4,13.6,-0.2,394,12.782,948748
ACFL,30.7,31.3,30.5,30.8,31.3,-0.6,196,3.552,114864
ACI,316.4,318.7,307.2,316.4,316.2,0.2,2332,177.762,567281
ACIFORMULA,174.1,178.8,172.0,174.1,177.4,-3.3,447,17.808,102461
ACMELAB,88.7,91.9,88.4,88.7,91.1,-2.4,633,25.198,282341
ACTIVEFINE,27.6,29.2,27.4,27.6,28.9,-1.3,2383,148.747,5287315
ADNTEL,50.7,52.5,50.2,50.7,51.8,-1.1,328,8.458,165134
ADVENT,26.3,26.7,26.2,26.3,26.8,-0.5,381,13.833,524159
AFCAGRO,30.6,31.7,30.4,30.6,31.4,-0.8,659,53.266,1726359
AGNISYSL,24.4,25.8,24.2,24.4,25.4,-1.0,1285,97.59,3921391
AGRANINS,56.2,57.9,56.2,56.2,57.7,-1.5,274,6.982,123081
AIBL1STIMF,8.8,8.9,8.8,8.8,8.9,-0.1,30,0.694,78665
AIL,47.1,48.4,47.0,47.1,47.0,0.1,161,3.131,66311
ALARABANK,26.8,27.4,26.7,26.8,26.9,-0.1,79,3.435,127734
ALIF,14.7,15.3,14.6,14.7,15.1,-0.4,1459,44.605,3004802
AMANFEED,55.6,57.7,55.4,55.6,55.4,0.2,720,46.922,831256
AMCL(PRAN),388.6,390.9,367.1,388.6,371.3,17.3,1552,80.027,208636
ANWARGALV,415.8,424.9,410.1,415.8,411.2,4.6,464,25.129,60072
AOL,42.9,44.0,42.6,42.9,43.9,-1.0,211,4.565,105430
APEXFOODS,190.7,199.4,185.0,190.7,192.2,-1.5,795,23.434,122266
APEXFOOT,384.8,384.8,374.0,384.8,353.9,30.9,1576,261.402,680415
APEXSPINN,138.9,142.4,136.1,138.9,136.8,2.1,666,15.773,112147
APEXTANRY,147.0,154.4,146.0,147.0,149.2,-2.2,508,19.893,131061
ARAMIT,370.6,377.9,350.0,370.6,347.8,22.8,984,37.936,102507
ASIAINS,104.2,109.0,103.3,104.2,108.6,-4.4,4640,216.878,2050292
ASIAPACINS,65.5,67.0,65.4,65.5,66.7,-1.2,171,6.579,99949
ATCSLGF,9.8,9.8,9.7,9.8,9.7,0.1,67,1.787,183298
BANGAS,130.1,136.0,129.2,130.1,133.6,-3.5,394,10.05,76144
BANKASIA,20.4,20.7,20.4,20.4,20.6,-0.2,59,1.722,83993
BARKAPOWER,24.2,24.6,24.1,24.2,24.5,-0.3,479,10.546,434214
BATBC,672.5,680.0,666.1,672.5,663.3,9.2,5111,323.244,479782
BAYLEASING,30.6,31.5,30.4,30.6,31.2,-0.6,560,17.967,583044
BBSCABLES,57.2,59.3,57.0,57.2,58.9,-1.7,992,46.927,808514
BDAUTOCA,143.4,151.8,143.0,143.4,146.8,-3.4,295,6.318,43582
BDCOM,24.6,24.9,24.3,24.6,24.6,0.0,226,12.775,520011
BDFINANCE,50.8,53.8,50.4,50.8,52.0,-1.2,385,15.196,295390
BDLAMPS,246.0,249.9,236.2,246.0,240.5,5.5,1345,50.816,208080
BDTHAI,21.0,21.7,20.9,21.0,21.5,-0.5,789,20.737,979254
BEACONPHAR,258.4,265.0,250.5,258.4,248.9,9.5,1015,54.688,210820
BENGALWTL,22.5,23.5,22.4,22.5,23.5,-1.0,166,2.829,124566
BERGERPBL,1819.3,1820.0,1810.0,1819.3,1806.9,12.4,266,7.556,4160
BEXIMCO,151.6,159.5,150.7,151.6,158.2,-6.6,7255,981.207,6357015
BGIC,53.1,55.1,53.0,53.1,54.3,-1.2,343,13.127,241749
BNICL,124.2,128.8,124.0,124.2,125.9,-1.7,102,2.378,19043
BPML,61.9,63.2,60.8,61.9,59.9,2.0,1422,51.684,830062
BPPL,35.7,36.8,35.6,35.7,36.3,-0.6,745,14.929,414754
BRACBANK,57.6,58.2,57.5,57.6,57.7,-0.1,350,46.213,800998
BSC,122.9,131.0,119.5,122.9,130.8,-7.9,12236,1134.896,9126124
BSCCL,232.1,236.9,227.4,232.1,232.0,0.1,2440,200.618,863617
BSRMLTD,109.7,111.8,108.0,109.7,109.1,0.6,425,21.229,194418
BSRMSTEEL,77.2,78.6,76.5,77.2,77.9,-0.7,405,34.55,446384
BXPHARMA,197.1,204.2,195.5,197.1,203.0,-5.9,1082,74.306,374139
CAPMBDBLMF,10.2,10.3,10.1,10.2,10.1,0.1,46,1.594,156671
CAPMIBBLMF,16.0,16.1,15.9,16.0,15.9,0.1,137,4.566,285101
CENTRALINS,52.4,53.4,52.2,52.4,52.9,-0.5,153,2.799,53188
CITYBANK,27.2,27.7,27.2,27.2,27.3,-0.1,238,7.242,264551
CITYGENINS,40.0,41.1,39.9,40.0,40.6,-0.6,261,7.593,189165
CNATEX,8.4,8.5,8.1,8.3,8.4,0.0,125,4.956,596430
CONFIDCEM,120.2,122.9,120.1,120.2,120.2,0.0,351,13.705,113351
CONTININS,45.0,46.5,44.6,45.0,45.6,-0.6,270,7.845,173359
COPPERTECH,42.4,43.3,42.0,42.4,42.7,-0.3,552,31.504,739965
CRYSTALINS,51.6,52.7,51.5,51.6,52.2,-0.6,192,4.853,93652
DACCADYE,21.6,22.3,21.5,21.6,21.7,-0.1,499,17.2,791236
DAFODILCOM,67.9,68.0,65.5,67.8,65.6,2.3,19,0.117,1730
DBH,77.0,77.6,76.3,77.0,77.8,-0.8,420,15.569,202746
DBH1STMF,7.5,7.6,7.5,7.5,7.5,0.0,31,0.575,75949
